seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,total_runtime,error_message,experiment_type,hazard_count
0,3,5,16,32,1,0.012,,,0,1.6669509932398796e-06,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
1,3,5,16,32,1,0.012,,,0,7.499475032091141e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
2,3,5,16,32,1,0.012,,,0,5.409820005297661e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
3,3,5,16,32,1,0.012,,,0,3.7497375160455704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
4,3,5,16,32,1,0.012,,,0,3.7509016692638397e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
5,3,5,16,32,1,0.012,,,0,3.7497375160455704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
6,3,5,16,32,1,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
7,3,5,16,32,1,0.012,,,0,2.08965502679348e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
8,3,5,16,32,1,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
9,3,5,16,32,1,0.012,,,0,2.909218892455101e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,1
0,3,5,16,32,2,0.012,,,0,7.079215720295906e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
1,3,5,16,32,2,0.012,,,0,4.169996827840805e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
2,3,5,16,32,2,0.012,,,0,3.33995558321476e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
3,3,5,16,32,2,0.012,,,0,3.7497375160455704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
4,3,5,16,32,2,0.012,,,0,2.50060111284256e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
5,3,5,16,32,2,0.012,,,0,2.909218892455101e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
6,3,5,16,32,2,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
7,3,5,16,32,2,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
8,3,5,16,32,2,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
9,3,5,16,32,2,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,2
0,3,5,16,32,3,0.012,,,0,6.25033862888813e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
1,3,5,16,32,3,0.012,,,0,3.33995558321476e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
2,3,5,16,32,3,0.012,,,0,2.0803418010473251e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
3,3,5,16,32,3,0.012,,,0,2.9103830456733704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
4,3,5,16,32,3,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
5,3,5,16,32,3,0.012,,,0,2.0803418010473251e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
6,3,5,16,32,3,0.012,,,0,2.9103830456733704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
7,3,5,16,32,3,0.012,,,0,2.9103830456733704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
8,3,5,16,32,3,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
9,3,5,16,32,3,0.012,,,0,1.6705598682165146e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,3
0,3,5,16,32,4,0.012,,,0,4.169996827840805e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
1,3,5,16,32,4,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
2,3,5,16,32,4,0.012,,,0,2.919696271419525e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
3,3,5,16,32,4,0.012,,,0,2.50060111284256e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
4,3,5,16,32,4,0.012,,,0,3.7497375160455704e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
5,3,5,16,32,4,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
6,3,5,16,32,4,0.012,,,0,2.08965502679348e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
7,3,5,16,32,4,0.012,,,0,2.08965502679348e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
8,3,5,16,32,4,0.012,,,0,2.4994369596242905e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
9,3,5,16,32,4,0.012,,,0,2.909218892455101e-07,Connect _call_existing_single_experiment() to your real planner function.,2a_success_hazard_count,4
