seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type,map_scale,map_ratio_w,map_ratio_h,map_area
0,2,2,8,16,1,0.012,0.9231076240539551,0.4764976501464844,1.0,100.0,1.1245206608437002,,1b_map_size_time,8,1,2,128
1,2,2,8,16,1,0.012,0.9202027320861816,0.47754812240600586,1.0,100.0,1.1155584598891437,,1b_map_size_time,8,1,2,128
2,2,2,8,16,1,0.012,0.9184601306915283,0.4753305912017822,1.0,100.0,1.1123259416781366,,1b_map_size_time,8,1,2,128
3,2,2,8,16,1,0.012,0.9158790111541748,0.4736747741699219,1.0,100.0,1.0931680710054934,,1b_map_size_time,8,1,2,128
4,2,2,8,16,1,0.012,0.9189517498016357,0.47481703758239746,0.995,100.0,1.1101370048709214,,1b_map_size_time,8,1,2,128
5,2,2,8,16,1,0.012,0.9162149429321289,0.47354745864868164,0.9858333333333333,100.0,1.1111627663485706,,1b_map_size_time,8,1,2,128
6,2,2,8,16,1,0.012,0.9205915927886963,0.4740755558013916,1.0,100.0,1.112057477235794,,1b_map_size_time,8,1,2,128
7,2,2,8,16,1,0.012,0.9163248538970947,0.4748673439025879,1.0,100.0,1.1101315869018435,,1b_map_size_time,8,1,2,128
0,2,2,12,24,1,0.012,8.533759832382202,4.567265748977661,1.0,100.0,10.450985766015947,,1b_map_size_time,12,1,2,288
1,2,2,12,24,1,0.012,8.542506456375122,4.567365884780884,0.395,69.75,9.943371465895325,,1b_map_size_time,12,1,2,288
2,2,2,12,24,1,0.012,8.53332805633545,4.566652297973633,1.0,100.0,10.43109990702942,,1b_map_size_time,12,1,2,288
3,2,2,12,24,1,0.012,8.630699396133423,4.660785913467407,0.9916666666666667,99.58333333333333,10.037284908816218,,1b_map_size_time,12,1,2,288
4,2,2,12,24,1,0.012,8.537968397140503,4.5648298263549805,1.0,100.0,10.470017916988581,,1b_map_size_time,12,1,2,288
5,2,2,12,24,1,0.012,8.567943572998047,4.587273359298706,1.0,100.0,10.502131242770702,,1b_map_size_time,12,1,2,288
6,2,2,12,24,1,0.012,8.549300193786621,4.57813835144043,1.0,100.0,10.446838457137346,,1b_map_size_time,12,1,2,288
7,2,2,12,24,1,0.012,8.541770935058594,4.566197395324707,1.0,100.0,10.436042653862387,,1b_map_size_time,12,1,2,288
0,2,2,16,32,1,0.012,38.63733959197998,21.47634792327881,1.0,100.0,46.7282755789347,,1b_map_size_time,16,1,2,512
1,2,2,16,32,1,0.012,38.70931649208069,21.558350324630737,1.0,100.0,46.81082117604092,,1b_map_size_time,16,1,2,512
2,2,2,16,32,1,0.012,38.62290406227112,21.488165855407715,1.0,100.0,46.759392735082656,,1b_map_size_time,16,1,2,512
3,2,2,16,32,1,0.012,38.69957089424133,21.554187774658203,1.0,100.0,45.08773365011439,,1b_map_size_time,16,1,2,512
4,2,2,16,32,1,0.012,38.71389937400818,21.565274715423584,0.7791666666666667,88.95833333333333,45.110061110928655,,1b_map_size_time,16,1,2,512
5,2,2,16,32,1,0.012,38.766066789627075,21.625959873199463,1.0,100.0,46.88622059766203,,1b_map_size_time,16,1,2,512
6,2,2,16,32,1,0.012,38.678488969802856,21.517168045043945,1.0,100.0,46.988082179799676,,1b_map_size_time,16,1,2,512
7,2,2,16,32,1,0.012,38.62794542312622,21.486151456832886,1.0,100.0,46.70766184432432,,1b_map_size_time,16,1,2,512
0,2,2,20,40,1,0.012,104.64050340652466,58.18521571159363,0.9691666666666666,100.0,127.00966054480523,,1b_map_size_time,20,1,2,800
1,2,2,20,40,1,0.012,105.08140444755554,58.639344215393066,1.0,100.0,127.49497556174174,,1b_map_size_time,20,1,2,800
2,2,2,20,40,1,0.012,105.10739874839783,58.61054086685181,1.0,100.0,127.45056032994762,,1b_map_size_time,20,1,2,800
3,2,2,20,40,1,0.012,105.05147528648376,58.622718811035156,1.0,100.0,127.53652183292434,,1b_map_size_time,20,1,2,800
4,2,2,20,40,1,0.012,104.97179174423218,58.58178901672363,1.0,100.0,127.34279847890139,,1b_map_size_time,20,1,2,800
5,2,2,20,40,1,0.012,104.97492575645447,58.54668855667114,1.0,100.0,122.03419638192281,,1b_map_size_time,20,1,2,800
6,2,2,20,40,1,0.012,104.94250988960266,58.46865916252136,1.0,100.0,121.73618238884956,,1b_map_size_time,20,1,2,800
7,2,2,20,40,1,0.012,105.0280225276947,58.56032133102417,0.9775,97.75,128.08767968416214,,1b_map_size_time,20,1,2,800
0,2,2,24,48,1,0.012,371.01578998565674,204.12019538879395,1.0,100.0,437.62505499413237,,1b_map_size_time,24,1,2,1152
1,2,2,24,48,1,0.012,370.2570598125458,203.86096715927124,1.0,100.0,461.15969899483025,,1b_map_size_time,24,1,2,1152
2,2,2,24,48,1,0.012,373.8789572715759,204.4172761440277,1.0,100.0,460.05599397281185,,1b_map_size_time,24,1,2,1152
3,2,2,24,48,1,0.012,372.14891505241394,205.64509558677673,1.0,100.0,435.52144734188914,,1b_map_size_time,24,1,2,1152
4,2,2,24,48,1,0.012,371.4757206439972,204.93306946754456,1.0,100.0,461.98233509482816,,1b_map_size_time,24,1,2,1152
5,2,2,24,48,1,0.012,372.9846827983856,205.32740139961243,1.0,100.0,462.2024193252437,,1b_map_size_time,24,1,2,1152
6,2,2,24,48,1,0.012,370.86210918426514,204.5409595966339,0.6358333333333334,81.79166666666666,434.0593112357892,,1b_map_size_time,24,1,2,1152
7,2,2,24,48,1,0.012,372.89887857437134,205.5989317893982,1.0,100.0,459.8163751317188,,1b_map_size_time,24,1,2,1152
