seed,num_agents,num_tasks,map_width,map_height,num_hazards,p_f,setup_time,calculation_time,success,tasks_rescued_pct,total_runtime,error_message,experiment_type
0,1,1,16,32,1,0.012,17.966587121598423,6.317010164260864,1.0,100.0,24.44283687788993,,1a_time_table
1,1,1,16,32,1,0.012,17.93094721902162,6.313552379608154,0.8708333333333333,87.08333333333333,24.34865951910615,,1a_time_table
2,1,1,16,32,1,0.012,17.750304222106934,6.344433307647705,1.0,100.0,23.547368404455483,,1a_time_table
3,1,1,16,32,1,0.012,17.930195656139404,6.2829694747924805,1.0,100.0,24.277804127894342,,1a_time_table
4,1,1,16,32,1,0.012,17.718167066574097,6.296039342880249,0.87,87.0,23.49213534221053,,1a_time_table
5,1,1,16,32,1,0.012,17.710012674331665,6.288916826248169,1.0,100.0,23.430058164987713,,1a_time_table
6,1,1,16,32,1,0.012,17.738627433776855,6.318440914154053,0.8941666666666667,89.41666666666667,23.480585482902825,,1a_time_table
7,1,1,16,32,1,0.012,17.75806999206543,6.336238622665405,1.0,100.0,23.526877818163484,,1a_time_table
0,2,1,16,32,1,0.012,23.49269723892212,6.347469806671143,1.0,100.0,29.241338992957026,,1a_time_table
1,2,1,16,32,1,0.012,23.45208501815796,6.321635961532593,1.0,100.0,29.226732507813722,,1a_time_table
2,2,1,16,32,1,0.012,23.480424880981445,6.3577048778533936,1.0,100.0,29.30396423395723,,1a_time_table
3,2,1,16,32,1,0.012,23.51946520805359,6.376471042633057,1.0,100.0,29.31670152535662,,1a_time_table
4,2,1,16,32,1,0.012,23.45910668373108,6.318360805511475,1.0,100.0,29.32308227615431,,1a_time_table
5,2,1,16,32,1,0.012,23.52961492538452,6.399133205413818,1.0,100.0,29.303294299170375,,1a_time_table
6,2,1,16,32,1,0.012,23.42783498764038,6.314548969268799,1.0,100.0,29.217112344689667,,1a_time_table
7,2,1,16,32,1,0.012,23.456848859786987,6.309340953826904,1.0,100.0,29.235826076939702,,1a_time_table
0,3,1,16,32,1,0.012,29.207245111465454,6.347772121429443,1.0,100.0,34.98185591213405,,1a_time_table
1,3,1,16,32,1,0.012,29.100386142730713,6.248800277709961,1.0,100.0,34.92093135602772,,1a_time_table
2,3,1,16,32,1,0.012,29.18575930595398,6.317073345184326,1.0,100.0,34.979452743195,,1a_time_table
3,3,1,16,32,1,0.012,29.16997528076172,6.316644906997681,1.0,100.0,35.020376928150654,,1a_time_table
4,3,1,16,32,1,0.012,29.16231656074524,6.313212871551514,1.0,100.0,34.997882031835616,,1a_time_table
5,3,1,16,32,1,0.012,29.17719030380249,6.3261425495147705,1.0,100.0,34.96220672503114,,1a_time_table
6,3,1,16,32,1,0.012,29.22288751602173,6.340951919555664,1.0,100.0,34.94417299097404,,1a_time_table
7,3,1,16,32,1,0.012,29.114638805389404,6.27437162399292,1.0,100.0,34.89830769831315,,1a_time_table
0,1,2,16,32,1,0.012,32.867666482925415,21.45369529724121,1.0,100.0,41.03143391478807,,1a_time_table
1,1,2,16,32,1,0.012,32.683966875076294,21.246881246566772,0.6408333333333334,64.08333333333334,40.795481994748116,,1a_time_table
2,1,2,16,32,1,0.012,32.85285782814026,21.423478364944458,1.0,100.0,41.01291259564459,,1a_time_table
3,1,2,16,32,1,0.012,32.96438789367676,21.529224157333374,1.0,100.0,41.03835616866127,,1a_time_table
4,1,2,16,32,1,0.012,32.98120999336243,21.56019163131714,1.0,100.0,41.07657371694222,,1a_time_table
5,1,2,16,32,1,0.012,32.97771644592285,21.542771100997925,1.0,100.0,41.01832054834813,,1a_time_table
6,1,2,16,32,1,0.012,32.92375063896179,21.47376537322998,0.8941666666666667,89.41666666666667,41.13929502107203,,1a_time_table
